"","theta"
"Kst",-1.84530522944018e-05
"Kint",-0.713668177651363
"KurineC",-0.412147729497193
"KmC",-0.153778497718492
"Ka",0.751168804781686
"QCC",-0.325434920721185
"QLC",0
"QKC",0
"QFC",0
"QMC",0
"QovaryC",0
"BW",-1.04882397433983
"VLC",0
"VKC",0
"VFC",0
"VMC",0
"VovaryC",0
"VbloodC",0
"Htc",-2.577075671948e-05
"PL",-0.154247748946231
"PK",-4.16425735110422e-05
"PM",-0.000521418859245445
"Povary",-0.000102224608197946
"PF",0.999859472343798
"PRest",-0.037635041991291
"Free",0
"Ay",0
"Ky",-7.11641443748813e-05
"Kw",-1.20247679600665e-05
"tlag",6.53495679149937e-06
"tsig",-2.38958061968749e-05
"s",-1.76147566505846e-05
"talbumen",-3.68730054035305e-05
"tlay1",0.000187672905942385
"Rwhitefor",-1.20247720588385e-05
