"","theta"
"Kst",-5.95234327536167e-05
"Kint",-0.713667595558478
"KurineC",-0.412191239840273
"KmC",-0.153780213210629
"Ka",0.751173083436095
"QCC",-0.325523864579257
"QLC",0
"QKC",0
"QFC",0
"QMC",0
"QovaryC",0
"BW",-1.04877712310103
"VLC",0
"VKC",0
"VFC",0
"VMC",0
"VovaryC",0
"VbloodC",0
"Htc",-4.69822342865075e-05
"PL",-0.154290415279758
"PK",-3.66473293286055e-05
"PM",-0.000558467003833145
"Povary",0.999807569045183
"PF",-6.78181334903804e-05
"PRest",-0.0375713419705161
"Free",0
"Ay",0
"Ky",-0.000123042217289818
"Kw",-2.08916594989908e-05
"tlag",1.19743926811463e-05
"tsig",-4.08504104994449e-05
"s",-3.08181486042044e-05
"talbumen",-6.42106135720177e-05
"tlay1",0.000320662731704808
"Rwhitefor",-2.08916666794905e-05
