"","theta"
"Kst",-0.000289132157596006
"Kint",-0.714224327174353
"KurineC",-0.482863916486873
"KmC",-0.172432454422867
"Ka",0.750886930157291
"QCC",-0.260399692605304
"QLC",0
"QKC",0
"QFC",0
"QMC",0
"QovaryC",0
"BW",-1.06578438405667
"VLC",0
"VKC",0
"VFC",0
"VMC",0
"VovaryC",0
"VbloodC",0
"Htc",1.16863540628624e-05
"PL",-0.169283053822432
"PK",0.000366496516952336
"PM",0.00378124722063712
"Povary",0.999505332534656
"PF",0.000109957099071789
"PRest",-0.0300434750969472
"Free",0
"Ay",0
"Ky",0.999348254131752
"Kw",-0.00027096429827228
"tlag",0.0515169112576352
"tsig",0.104674162946616
"s",-0.750677622701722
"talbumen",-0.000244038629622901
"tlay1",-0.536118495405786
"Rwhitefor",-0.000276448377936559
