"","theta"
"Kst",-1.86727379897015e-05
"Kint",-0.713668237415682
"KurineC",-0.850446449616023
"KmC",-0.153784639182801
"Ka",0.751168798602248
"QCC",0.114969823117812
"QLC",0
"QKC",0
"QFC",0
"QMC",0
"QovaryC",0
"BW",-1.04882944136735
"VLC",0
"VKC",0
"VFC",0
"VMC",0
"VovaryC",0
"VbloodC",0
"Htc",-2.58368173548527e-05
"PL",-0.154252913619079
"PK",0.999927411859619
"PM",-0.000520300303308651
"Povary",-0.000102389280050393
"PF",-4.84311271216518e-05
"PRest",-0.0375883113483563
"Free",0
"Ay",0
"Ky",-7.1283660385205e-05
"Kw",-1.20494474823242e-05
"tlag",6.57852999892084e-06
"tsig",-2.39159328057147e-05
"s",-1.76577650343207e-05
"talbumen",-3.69569910429946e-05
"tlay1",0.00018777735270661
"Rwhitefor",-1.20494516108109e-05
