,Plasma,Liver,Kidney,Muscle,Fat
Kst,0,0,0,0,0
Kint,0,0,0,0,0
KurineC,-0.29212524,-0.247845285,-0.988238857,-0.247845251,-0.247845187
KmC,-0.008665984,-0.011784156,-0.007352421,-0.007352416,-0.007352415
Ka,0,0,0,0,0
QCC,-0.689196755,-0.730447107,0.005614468,-0.734803228,-0.734802859
QLC,0,0,0,0,0
QKC,0,0,0,0,0
QFC,0,0,0,0,0
QMC,0,0,0,0,0
BW,-0.99867885,-1.001766197,-0.99737833,-0.997378335,-0.997378334
VLC,0,0,0,0,0
VKC,0,0,0,0,0
VFC,0,0,0,0,0
VMC,0,0,0,0,0
VbloodC,0,0,0,0,0
Htc,-3.67E-07,-3.16E-07,-3.11E-07,-3.17E-07,-3.17E-07
PL,-0.008670767,0.988093449,-0.007356485,-0.007356543,-0.007356549
PK,-2.73E-07,-2.35E-07,0.999999732,-2.35E-07,-2.36E-07
PM,-8.08E-06,-6.97E-06,-6.86E-06,0.999992538,-6.99E-06
PF,-6.71E-07,-5.79E-07,-5.70E-07,-5.80E-07,0.999998952
PRest,-0.000258102,-0.000222403,-0.000219349,-0.000222625,-0.000223027
Free,0,0,0,0,0
